crew_id,name,born_year,death_year,profession,known_for
nm0000636,William Shakespeare,1564,1616,writer|soundtrack|miscellaneous,tt3894536|tt5377528|tt5932378|tt8632012
nm0002005,Agatha Christie,1890,1976,writer|camera_department,tt3402236|tt0029171|tt0051201|tt1349600
nm0002042,Charles Dickens,1812,1870,writer|soundtrack|miscellaneous,tt0096061|tt0063385|tt0095776|tt0119223
nm0002172,Mukul Anand,1951,1997,director|writer|producer,tt0104607|tt0102201|tt0098999|tt0092026
nm0002411,Mani Kaul,1944,2011,director|writer|actor,tt0207626|tt0066514|tt0070009|tt0102515
nm0004292,Raj Kapoor,1924,1988,actor|producer|director,tt0066070|tt0152139|tt0058547|tt0084532
nm0004417,Taraka Rama Rao Nandamuri,1923,1996,actor|director|writer,tt0259576|tt0259579|tt0259261|tt0259242
nm0004466,E.V.V. Satyanarayana,1956,2011,director|writer|producer,tt1606217|tt1791479|tt1258121|tt0282554
nm0006005,Salil Choudhury,1923,1995,composer|soundtrack|music_department,tt0056367|tt0045693|tt0066763|tt0050665
nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
nm0006769,Narasa Raju D.V.,1920,2006,writer|director,tt0333067|tt0266880|tt0352488|tt0247203
nm0007147,Dev Anand,1923,2011,actor|producer|director,tt0053980|tt0059246|tt0066241|tt0051806
nm0007173,Rabindranath Tagore,1861,1941,writer|music_department|soundtrack,tt6255836|tt2048726|tt0259458|tt0057935
nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
nm0007815,Khwaja Ahmad Abbas,1914,1987,writer|director|producer,tt0152400|tt0064915|tt0050820|tt0044360
nm0011996,Vishwamitter Adil,1919,2002,writer|assistant_director|music_department,tt0048181|tt1843180|tt0061650|tt0306065
nm0015286,Jan Nissar Akhtar,1914,1976,music_department|soundtrack|writer,tt0286499|tt0154236|tt0139048|tt0133188
nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
nm0025399,Kamal Amrohi,1918,1993,writer|director|music_department,tt0067546|tt0045666|tt0152148|tt0041619
nm0025608,Chetan Anand,1921,1997,director|writer|actor,tt0154942|tt0154749|tt0154565|tt0140784
nm0025629,Vijay Anand,1934,2004,writer|actor|director,tt0059246|tt0154685|tt0155088|tt0154265
nm0030116,Anjaan,1930,1997,music_department|soundtrack|writer,tt0461936|tt1454012|tt0073104|tt0960144
nm0038010,Arudra,1925,1998,writer|music_department|soundtrack,tt0155567|tt0262444|tt0061650|tt0246286
nm0039339,K. Asif,1922,1971,director|producer|writer,tt0091439|tt0133014|tt0054098|tt0037174
nm0044340,Kaifi Azmi,1919,2002,music_department|soundtrack|writer,tt0058270|tt0064915|tt0073034|tt0414506
nm0045962,Shakeel Badayuni,1916,1970,music_department|soundtrack|writer,tt0054910|tt0055783|tt0146791|tt0266765
nm0049244,Anand Bakshi,1930,2002,music_department|soundtrack|writer,tt0112870|tt0213890|tt0152836|tt0073707
nm0049250,Shanti Prakash Bakshi,1925,1988,director|writer,tt0152509|tt0154999|tt0154206|tt0154913
nm0049335,K. Balachander,1930,2014,director|writer|producer,tt0155124|tt0155256|tt0082314|tt0154159
nm0051779,Saradindu Bandopadhyay,1899,1970,writer,tt0061474|tt1073122|tt3447364|tt7605494
nm0051808,Bibhutibhushan Bandyopadhyay,1894,1950,writer,tt0066758|tt0052572|tt0048473|tt0237254
nm0051855,Tarashankar Banerjee,1898,1971,writer|music_department|director,tt0051792|tt0048536|tt0055411|tt0052559
nm0062620,Gulshan Bawra,1937,2009,music_department|actor|soundtrack,tt0362283|tt0286672|tt0146335|tt0070947
nm0065991,Vishram Bedekar,1906,1998,director|writer|producer,tt0362070|tt0156128|tt0037209|tt0133188
nm0066066,Narendra Bedi,1937,1982,director|writer|miscellaneous,tt0455070|tt0155846|tt0075632|tt0071205
nm0066074,Rajinder Singh Bedi,1915,1984,writer|director|producer,tt0059445|tt0137455|tt0175908|tt0050665
nm0080173,Master Bhagwan,1913,2002,actor|director|writer,tt0137349|tt1309415|tt0155517|tt0155541
nm0080345,Basu Bhattacharya,1934,1997,director|producer|writer,tt0156258|tt0061072|tt0156290|tt0079938
nm0080346,Bijon Bhattacharya,1917,1978,actor|writer|music_department,tt0056537|tt0038475|tt0048410|tt0046304
nm0080405,Bhimsain,1936,2018,director|producer|writer,tt0156534|tt0150718|tt6998554|tt3295870
nm0080406,A. Bhimsingh,1924,1978,director|writer|editorial_department,tt0156879|tt0156651|tt0059354|tt0063533
nm0080432,Sachin Bhowmick,1930,2011,writer|director|miscellaneous,tt0113526|tt0254481|tt0066888|tt0147925
nm0080445,Bharat Bhushan,1920,1992,actor|writer|producer,tt0137958|tt0157037|tt0130731|tt0368239
nm0097897,Samaresh Basu,1924,1988,writer|music_department,tt0087868|tt0290448|tt1397496|tt7609134
nm0097899,Satyen Bose,1916,1993,director|writer|producer,tt0147036|tt0146645|tt0156342|tt0156923
nm0103932,Emil Braginskiy,1921,1998,writer|actor,tt0055468|tt0314827|tt0060161|tt0076727
nm0109279,Brij,1933,1990,director|producer|miscellaneous,tt0158331|tt0158375|tt0158314|tt0061206
nm0111576,Charlotte Brontë,1816,1855,writer,tt0036969|tt1229822|tt0009831|tt3010252
